event_id,coastal_fraction,majority,rain_evidence,coastal_evidence,compound_index,regime
oct2023,0.6119402985074627,0.6119402985074627,0.7509617656469345,0.6850550174713135,0.6850550174713135,COMPOUND
sep2025_market,0.4375,0.5625,0.7660931944847107,0.6850550174713135,0.6850550174713135,COMPOUND
jun2019,0.35638297872340424,0.6436170212765957,0.8210380226373672,0.665992259979248,0.665992259979248,COMPOUND
jun2022,0.4727272727272727,0.5272727272727273,0.8165624439716339,0.6547534465789795,0.6547534465789795,COMPOUND
jun2021,0.4793388429752066,0.5206611570247934,0.7266461849212646,0.618474543094635,0.618474543094635,COMPOUND
mar2025,1.0,1.0,0.4767757058143616,0.5613250136375427,0.4767757058143616,coastal
nov2021,0.6923076923076923,0.6923076923076923,0.4511902332305908,0.5688348412513733,0.4511902332305908,coastal
feb2024,1.0,1.0,0.4135308861732483,0.564267098903656,0.4135308861732483,coastal
feb2025,1.0,1.0,0.41315335035324097,0.5769374966621399,0.41315335035324097,coastal
jan2025,0.7899159663865546,0.7899159663865546,0.4135308861732483,0.4128347337245941,0.4128347337245941,weak/uncertain
may2021,0.49612403100775193,0.5038759689922481,0.3812016248703003,0.6213937997817993,0.3812016248703003,coastal
jul2023,0.06976744186046512,0.9302325581395349,0.7616420388221741,0.2676231265068054,0.2676231265068054,rain
jun2020,0.36036036036036034,0.6396396396396397,0.8278854489326477,0.24130621552467346,0.24130621552467346,rain
may2026_downpour,0.5285714285714286,0.5285714285714286,0.7842465490102768,0.22986239194869995,0.22986239194869995,rain
jun2023,0.3277310924369748,0.6722689075630253,0.7949992269277573,0.21510830521583557,0.21510830521583557,rain
apr2022,0.5546875,0.5546875,0.3631778955459595,0.20416149497032166,0.20416149497032166,weak/uncertain
jul2020,0.23387096774193547,0.7661290322580645,0.7561198770999908,0.19798071682453156,0.19798071682453156,rain
jun2026_floodgates,0.38636363636363635,0.6136363636363636,0.8320526033639908,0.19026842713356018,0.19026842713356018,rain
sep2023,0.010752688172043012,0.989247311827957,0.8271862119436264,0.18052329123020172,0.18052329123020172,rain
jul2019,0.36082474226804123,0.6391752577319587,0.7773151695728302,0.1800764799118042,0.1800764799118042,rain
may2025,0.575,0.575,0.854122057557106,0.16897158324718475,0.16897158324718475,rain
jun2025_lawoshime,0.38271604938271603,0.617283950617284,0.315396785736084,0.16666418313980103,0.16666418313980103,weak/uncertain
jul2022,0.5423728813559322,0.5423728813559322,0.8114676922559738,0.14994171261787415,0.14994171261787415,rain
